Age,Revenu_annuel,Depenses_mensuelles
25,9950417,74046
53,5201315,34945
27,4783097,76696
52,5059117,30146
38,3632669,27110
65,690632,22485
19,905510,49532
47,9629655,43826
49,1607018,43341
67,3949642,34656
21,6960823,57143
24,4333717,97999
48,9030589,63825
43,9975338,20595
21,8724183,85680
38,4287302,46088
54,8214209,11458
49,2882330,68179
53,2939283,45704
49,817638,47135
66,9593898,46839
40,7883386,17176
62,8535091,38852
51,1987115,54276
63,1399698,89412
50,6081493,58434
27,4959423,83090
21,7845606,90023
66,4979097,87464
20,3847517,22305
26,4093363,76770
42,8380817,87415
55,1369579,36861
38,3451943,25749
61,8106370,60388
59,3535663,36228
56,3435240,62112
49,7206188,16680
37,6433636,19065
53,7626483,50033
23,8880197,32928
53,7494881,52784
37,1992186,68732
64,4506306,82787
47,4169289,94447
32,6935483,72494
26,3650301,88212
68,9114171,73859
48,8262656,67984
60,4864009,84245
45,6432522,12955
56,4784943,18201
57,8680783,40932
56,6312737,61406
25,7274003,58520
39,2687395,49050
47,5790419,35268
26,8449420,44822
54,1906586,40906
62,3412244,80903
21,5404904,77991
34,6503946,41729
20,9996965,80009
35,8959826,66929
48,2471148,94020
43,9005829,52053
48,7092034,49875
64,3154658,11008
42,1540347,74838
47,8167551,22831
65,1034643,67519
34,6119055,14909
35,8243833,97307
47,9562310,43548
43,8539907,34165
69,4634235,69857
47,849174,80559
23,3652927,32847
31,7535333,25982
18,5691209,20415
34,105554,35132
26,3067351,45396
52,9342794,79689
42,2085377,20618
25,1961913,53578
29,7852574,92288
27,3392091,32316
63,6398415,46050
50,9789887,57428
65,2896123,25764
22,1998020,59201
65,7440650,63784
50,2824495,63699
27,1765212,12692
52,8750380,96080
52,5076552,67984
56,5852653,69079
59,700315,73999
34,416272,93244
49,2927869,85795
36,7118268,42793
43,4438487,10892
22,7192268,10061
56,1796728,71395
63,4916363,24309
51,1058371,13281
35,253644,33445
26,4831326,99270
49,1949280,37097
54,8701670,69622
41,2346868,88345
35,8736502,73836
69,3515179,95780
62,6211010,97182
50,6400317,42260
59,5191883,22961
21,2832438,83466
68,7077952,11927
41,1576053,58134
44,8960461,98417
49,9977779,59513
50,7897127,92033
59,8414479,80597
30,8657532,20263
63,6809562,78119
47,4311729,28132
38,4337680,21538
62,2180564,18847
36,4660258,47553
46,4577967,66512
38,7735824,67669
59,4827412,13375
59,4034004,37774
23,1931010,47214
68,923231,92481
69,4148864,90635
30,8255003,98727
68,8623281,82903
30,5582862,27598
68,3069788,54173
59,6815349,87225
33,892449,11789
35,9717054,69543
61,5320499,74664
52,3412404,59048
51,3830111,36316
57,1104277,52467
47,7255461,26422
63,5336756,42563
36,6437997,10600
29,561946,84929
59,2280562,38275
19,7880441,77903
69,7986729,47566
44,8436128,68882
53,9036881,73375
20,6925134,18288
61,1849664,88995
20,8212896,70440
45,3242641,40945
25,3362022,23594
65,831260,51702
24,1567895,85992
60,462193,53638
46,8504232,70255
42,2369269,65177
63,9975661,37664
48,5213917,90612
64,7169835,21771
63,5587025,11912
56,517684,56862
32,9619321,15809
22,2530709,83546
42,3167494,46532
47,6221971,41331
62,5138398,60302
19,5988795,62605
49,3858464,81098
31,4477631,72778
39,3482693,67978
64,8615833,62204
50,3450374,60154
17,9692765,91808
47,6288774,18347
51,8674244,25118
61,3450667,58305
24,2775339,95511
22,9529901,45779
65,8083356,55825
42,3274453,78722
67,7288311,34055
58,2173088,61583
53,5107379,61221
46,1886921,50870
66,7431866,31056
56,7917025,76441
42,4408996,33540
66,7089240,61977
42,8367366,72845
58,9270419,73432
48,2938091,95031
52,9515251,12750
32,7076300,40358
69,6351411,61308
62,5769808,40802
54,266390,26299
60,883700,94246
49,313775,37202
29,2232839,75510
46,604621,50443
60,1373842,68729
34,1741796,83856
52,7372826,53570
23,9152127,61589
56,7427061,24412
47,8204226,57202
62,8013460,60604
69,1349135,86321
40,5063170,71671
39,8630533,68426
49,944170,13560
38,8513820,33761
30,7347237,97850
41,918791,24037
38,2013122,34997
64,1737456,26388
34,4452082,67413
40,3737168,64746
33,964837,51683
67,9931380,72580
25,9692413,49736
30,367598,46424
56,7630153,93239
52,4867914,75332
66,8125778,76363
41,6424619,67596
62,2154734,17529
54,7268549,19641
52,4132194,58270
35,4200255,16464
24,3944335,76238
25,4760424,89774
49,266304,34362
55,2152433,86104
69,4113620,89950
63,7487421,51152
59,2322582,52245
44,2365912,12312
18,1739891,87848
56,1039307,75322
62,6227605,16394
51,8616729,46455
63,8456079,87051
22,4949231,57340
37,6387089,17243
49,8055607,32525
31,2592010,72608
48,6501698,49453
50,3684605,90270
67,8205150,24971
26,1245526,38877
33,1864565,90971
30,8249290,23205
57,8604915,57248
69,9874612,74311
24,7121159,26683
50,7170689,14071
18,9724013,39118
48,8237886,75327
67,3293999,46167
29,4885652,67065
20,7620955,81377
50,9721924,94772
55,8841075,86896
36,8108141,14583
57,2502818,98875
42,2198129,85213
69,7077624,97619
51,1953807,78053
46,2334806,40747
46,2382251,59211
44,9090584,89495
54,7455425,45826
39,781883,20931
23,9851982,38854
46,3406242,63569
69,4030630,28694
55,1987731,94601
60,1244466,98383
69,3323811,36900
66,8910801,24130
59,1111960,44356
55,7200095,52542
40,4745043,18824
55,4182119,52205
25,7266297,55364
31,350578,13418
23,4891304,73453
55,2148514,49463
29,5144034,80374
56,4426911,24746
38,5645763,74897
21,9807151,38036
28,832776,17183
28,9749929,99611
43,9173517,67867
66,1348069,57666
18,9137936,64052
56,7749390,33557
38,6970060,68137
58,6147282,97101
62,3243590,10497
28,7261413,35442
47,511111,60590
66,3949857,71893
41,7383438,60359
30,1304247,80313
22,9307557,68275
44,7005299,40014
38,6076848,38108
51,1354930,43987
66,111295,51914
19,570241,87676
20,2660894,83927
57,4491785,15880
45,7128996,34189
53,6976413,98849
68,446161,71129
65,6311748,13243
50,8175436,97101
25,1085473,28505
50,9475454,29566
48,2830311,79258
21,9443012,78361
53,7354452,44329
49,6808526,31643
41,5530610,30010
25,4061622,65650
29,882033,37744
17,8677220,55701
63,1526874,90415
54,3562753,42907
60,8275850,23118
39,6038612,51779
62,5000990,20497
41,3670890,64547
57,2310037,23910
54,9510695,60186
60,7225647,34369
65,8899417,32550
68,9895085,10553
49,1991260,28493
19,2237589,34734
59,737442,30676
47,1916729,25033
65,5929147,99538
23,4633000,20315
52,989338,49447
63,8312437,12689
24,6229922,52285
52,1375830,43778
35,1330970,52955
47,8650540,44559
45,1007474,29317
33,1317592,64868
49,6167202,25935
23,4881800,93659
29,4801081,62948
50,6951065,56709
43,1465049,13200
68,6189581,24396
22,6033901,36241
27,2957264,73920
32,7950701,17573
61,3917081,76087
21,4839255,19799
60,7856073,72297
29,8376652,51588
40,6061051,84164
51,5756251,23726
19,599448,47895
66,5026382,56355
31,3585969,48892
32,8827881,53649
49,568079,49252
25,4562169,36456
49,3913160,70125
30,8132539,35515
53,7925057,91317
61,4090751,83283
28,4091759,10924
20,8971463,93002
39,9073537,36547
24,2678190,81427
53,6273173,44572
60,4308908,39974
64,9779237,63101
47,9742026,68405
35,3073947,15978
36,1635471,46306
53,5953761,29350
21,9892334,26331
66,5140275,48464
36,4566951,27430
25,3735426,26533
41,3507315,38370
46,4131630,90365
32,4723192,69514
55,7601979,87406
49,149303,87379
31,3537114,68754
47,9777087,10107
49,8793922,99095
58,8850874,59621
18,2977029,61072
31,1058205,99162
17,4743227,91861
48,9142824,75220
53,8974554,30555
37,4002405,11648
44,5183940,33911
45,4685539,20795
18,7488595,43231
63,3082066,59705
53,7735196,61246
48,752445,30968
20,8715389,52312
55,9810763,31430
67,9335659,89459
62,5320883,26906
67,400416,79569
57,7030139,46762
18,9861069,54624
38,4098076,25160
49,3748567,64569
30,276127,64725
17,6843130,29112
32,4969469,54129
60,8536537,83976
45,5818332,22516
23,9386572,67858
46,4145143,62230
32,3161683,92772
20,591689,26259
43,6694208,83309
66,8197048,39237
56,7230330,91667
39,1031891,43945
60,381970,12000
19,1992676,70157
42,7013918,80411
47,248427,12766
63,3791823,49133
63,7798865,92343
22,547282,14249
29,7852934,65650
17,9440502,51946
25,2181781,72651
33,2173680,15152
55,465008,88822
23,7464307,29353
50,2389753,76932
20,8946668,96485
50,1514566,35841
42,1547259,90346
34,8520960,60486
42,1895251,73385
51,409934,64052
57,9821635,92872
63,7313772,49031
44,4352359,19968
34,5208548,75157
30,1427356,76746
62,5662536,65573
22,5556362,38137
20,7655121,35529
18,4971038,11921
21,2938818,64412
51,5388936,44783
23,4548249,47016
37,9394599,52009
30,7917521,39742
27,9379412,86021
17,8322626,47680
58,1499056,68067
56,4801357,37601
43,8670447,13223
66,3186053,82809
45,4020962,12060
59,3671661,13066
40,1208945,64178
61,5801129,94535
43,4043687,97141
63,2520630,97460
26,9742185,77663
59,3474807,84291
55,3946724,38376
25,272468,84663
41,858763,69578
57,5202702,79907
19,3914031,70503
28,1382674,11674
19,5518829,46390
40,8608104,91218
68,8893927,64761
46,7711442,34047
21,8283427,76537
22,8509712,30997
68,3555360,91001
22,7135666,16913
33,6014480,10374
54,6153683,43046
26,2656421,16587
31,7903687,90570
51,1807700,11553
66,9437524,61451
23,5482502,15694
65,933242,67042
28,9697431,62606
50,9712113,68206
40,5422123,36901
59,7491827,66281
19,9896078,49463
51,567473,24797
43,6984868,77876
26,8230824,12330
27,9362146,30156
17,5240717,73071
50,6162406,19051
63,210808,64051
39,5708835,81336
64,8104450,91175
62,5844831,61782
49,8951705,77952
62,9558343,73754
64,4645627,17883
23,4877229,97649
34,4728186,43081
34,3460176,31540
64,3161806,27379
45,1359075,12116
37,5981509,53112
44,1546021,13898
54,7254444,88458
42,8725740,81770
65,7809247,76911
65,7976523,41520
57,5899987,88496
60,782038,35465
65,2036284,10167
34,9817649,18343
36,9604191,83139
29,8374114,13775
65,4962895,50280
57,5223525,80823
46,5241220,98461
31,4517219,46670
33,2494740,99125
63,3152305,92957
44,4603998,67803
58,6604278,12158
68,9934142,65652
34,2553360,82035
44,9673120,68608
27,8981542,75381
56,1546856,70535
55,443328,14145
33,3566741,17534
29,5167538,48570
57,2397207,10495
22,4270491,98807
20,300348,73476
41,997675,40297
67,2378418,31206
47,9248315,84593
42,1049601,20195
26,9976019,42723
45,3138879,66769
54,9430807,68802
19,9958655,82214
32,5856130,93925
49,8897087,59554
25,5513840,57287
39,1138114,87772
23,4542750,54338
36,1733038,26112
65,6485303,68528
51,9077356,95476
32,4134648,96981
60,2081595,86702
26,256077,64224
39,6264543,69603
58,8635245,59329
22,807013,92576
25,2297419,51285
30,8879492,68280
23,9048242,64563
17,3796468,28995
48,176383,31625
24,616391,68924
38,452750,72171
68,6895009,18418
39,9306564,34964
52,3378066,46424
21,298631,20219
42,6490145,84861
21,8970087,84596
17,9703972,57449
68,2319488,89286
61,5988158,82579
69,2469153,42914
49,6843135,38118
51,7316938,10498
54,4308078,15030
23,8775261,89419
32,1733354,14288
40,1264413,10980
57,971376,37293
56,5148783,22948
68,6535582,61001
17,1170315,10424
67,9879203,99208
29,8924568,38824
61,7674178,11478
69,7276854,22916
62,7639278,62122
45,7331628,15615
68,2496599,84967
34,1168175,85765
56,4746277,73443
55,2798463,72959
58,8123685,55041
17,5172737,97579
55,6917050,22820
28,1625048,19220
34,7059331,52194
32,7158626,52233
21,4317037,11298
30,1516301,45057
56,1818834,97327
18,9032822,90245
42,3673280,75154
42,4175018,13643
17,9519848,90692
48,4098839,52010
48,6597270,22145
28,327393,33906
30,7736063,98157
60,8798763,37497
50,656055,98492
68,5669561,93459
47,6819764,11896
32,637902,80758
55,4386278,70254
49,461796,58918
54,4079305,32924
34,8154915,68212
20,6001390,43207
53,5864161,53163
39,8158391,68657
42,3118954,95007
48,6405836,14646
30,5383661,80842
18,5007310,44002
20,4867637,39284
25,2045518,68895
50,9421720,59593
51,5958863,76342
50,5381501,96312
24,9197662,97409
59,2084142,63409
33,6645349,16622
57,3257708,59501
64,7365287,55301
65,9807855,85706
65,9679846,90393
60,8848729,75142
32,924163,11874
40,8744009,72727
47,5294292,95575
24,5999080,52252
19,6323222,99314
42,1866510,80049
38,4348532,24170
29,8280309,95669
35,6416084,73764
56,1343511,13203
19,1859242,86069
34,6763440,40849
50,9176847,16022
51,2265371,99899
40,1664857,91333
48,7542792,45042
20,1869585,34330
20,7930213,27787
28,4601824,85406
30,9263523,33154
35,1716590,77524
50,746821,94250
19,1698268,21147
59,2169379,11846
34,1123138,19351
36,6875956,26168
60,547698,23568
27,3722595,70363
24,745978,95711
26,8259172,64816
45,6747924,61621
68,5935800,70147
46,8073490,98862
45,6274696,36430
41,5317027,24526
38,781504,31834
27,7368595,54854
57,8680281,59210
57,2490983,25331
21,3055071,30867
27,7627791,14945
50,3981381,83313
68,2346190,39628
28,2090938,68711
17,6594002,66348
41,2987313,66329
62,899842,61631
25,8143326,23231
65,4378014,58602
30,6012556,40964
33,3280493,89558
46,3259584,40996
56,6598239,88584
53,8356229,84852
36,6505512,62019
65,1243405,51364
67,9152505,90949
24,7066780,65752
25,6240959,96901
50,3297149,76129
22,1071298,32216
42,145439,21748
40,4917777,38827
62,6138069,22605
64,7897575,91332
68,3869608,77702
60,9687831,75056
63,4432457,26014
35,2171040,97469
55,8090328,58073
24,4397407,29294
69,6605666,72845
27,3387452,10332
35,1069569,44882
52,9458835,40178
61,8336450,31606
66,2851845,43731
22,9902841,55251
18,4244796,39863
64,8881579,96443
25,5334834,86802
48,3948419,81377
42,5237624,47060
67,1147723,25138
20,7267800,45740
24,838006,72380
68,6258030,16935
44,560412,95249
50,6712424,55369
49,3687300,25819
24,4020915,94296
44,4757122,62143
67,1106565,64878
51,9636619,79956
62,6047146,46882
43,5334337,17115
23,5516677,46507
39,8407463,71038
35,4610639,48817
40,2639341,53231
18,2013696,94083
50,2591613,94720
40,7062159,16208
59,3116298,23777
50,8958710,25715
43,4104049,54255
17,1517576,24396
39,3264354,77671
53,5603686,65654
65,5576226,11741
29,6828596,92108
30,7074264,37988
31,8843428,95143
60,2222955,58792
47,124991,40878
26,5965447,30355
65,9170827,31737
65,8019286,71214
50,586052,48911
33,3289911,30325
19,6048839,58363
53,5514957,12314
67,1532068,30013
36,155549,70675
30,2013755,55100
68,2299186,52234
36,5926693,60705
18,3299986,12002
47,3130119,10271
30,1867932,98578
21,3916821,97313
34,1766205,27270
23,5377197,90838
48,776149,48973
36,1455865,85340
57,929314,11511
18,2234177,61595
45,8721116,88512
59,9587455,69925
35,1862366,88673
54,6280338,59236
61,1611508,19957
36,4706226,63608
58,3583141,50292
37,4347190,15133
55,1869120,16023
54,9705742,25598
41,4952759,60767
47,5098259,85986
35,2310379,69964
44,7967529,84037
29,4224142,86045
31,2618294,25367
28,3302546,84341
41,3070894,99647
48,8356783,53669
37,1950793,94687
56,413795,40297
55,5840727,12707
36,2466714,69741
57,5273888,30209
48,7684977,10657
55,8629298,25139
39,8687868,60659
44,7688698,98335
63,7056935,79502
19,4684060,67349
51,9684305,12639
32,2242035,89405
53,4545584,57184
31,4995396,34311
46,6314972,25998
37,5465012,28203
47,8146369,31233
67,1650090,90141
45,4695482,53757
61,5569656,35471
21,2698573,79877
18,1207894,85567
24,9133652,84027
26,416137,66461
50,1381124,24830
45,3992459,90663
27,4233632,70449
17,371010,64721
35,1612434,71313
64,4973438,19847
22,2527075,61659
25,3555793,98602
