"Dépenses 
 Alimentaires","Dépenses 
 Mode","Dépenses 
 Électroniques","Depenses 
 Abonement","Depenses 
 Voyages"
56289,22402,2819,8535,26862
21503,11225,5398,25047,70502
61290,85546,4705,11395,83994
42529,5208,7584,28834,89809
34544,29287,8935,27752,70677
70499,82899,5412,9294,77608
34732,85096,2476,13552,14465
35137,51087,7335,4866,90565
16019,17032,2578,6544,62638
5924,6897,6151,17588,20665
8984,85847,4594,29010,84545
16895,3888,6238,19012,93427
51099,1976,8353,25548,26982
46438,13278,3505,15580,64326
6085,82582,4973,28419,14652
77833,80857,4854,15531,21775
31567,10280,7083,11645,33517
15680,75697,2458,15566,58047
28814,29346,3784,19126,95504
88144,32628,2105,9916,81736
82383,25917,1729,22309,66356
86415,76504,3692,19436,10926
56407,36320,8899,22286,42986
86667,37967,8109,6626,45792
11937,50617,6976,11130,11321
2753,11885,6251,14203,87329
85414,40541,5539,10225,90054
87584,86137,8399,26357,99132
42419,74313,8840,28364,82610
19550,44973,2160,26247,34658
57826,71350,2550,9206,47412
52084,51329,5339,15943,31078
23304,68342,4526,27684,15868
11490,85336,7075,16159,15374
42074,11857,5308,11973,54287
17876,4187,3330,25430,21261
2149,70413,5547,6488,65813
70084,10581,8350,19117,44662
50340,1063,7398,5808,85265
80533,9660,2771,16480,56432
27826,63297,1838,5501,31213
46059,45225,7843,12800,50229
59623,11077,2938,24463,28036
6144,8617,1141,12206,25022
81343,41099,2796,19583,27883
43765,89470,4253,6418,34437
24781,49020,2674,8510,62672
52486,14206,2892,20652,98731
53503,70746,3011,22643,45602
56794,13546,7302,15094,42805
84169,83188,3204,25686,34659
6075,71381,1705,9244,20773
20265,21623,5549,25284,45347
86801,68769,3156,27526,38872
17234,56668,4189,13907,52172
45804,33490,6646,15835,47474
89156,55975,8907,28743,77061
41965,55956,4908,17062,25156
19536,36071,1821,15625,97645
1290,81098,5502,18323,47981
33355,89006,3500,14247,66607
32735,88968,6989,26252,35951
6411,81691,3820,21343,79825
30849,10085,5593,15512,28130
30359,18274,3026,4004,35056
50123,20642,6193,5220,62986
24053,86868,3956,24504,46675
53356,1678,2118,21319,17658
71978,76632,2032,23967,37021
18225,9315,1867,25125,99536
30678,54537,2660,13804,91705
16287,55730,3733,4258,25846
82520,26524,7012,13034,12861
40015,47561,5718,7323,76104
20157,57328,4936,19551,81233
43437,55719,1997,20603,71513
57218,19705,1199,29939,58708
8035,3567,3882,15961,19790
41068,83834,4395,23413,31439
80319,69314,6900,7341,40129
33104,24062,1879,16671,59620
1869,32737,5114,23463,43002
3126,14714,4086,28676,64016
2730,23525,6253,24701,77497
74543,51674,6012,28641,98355
16784,23281,7629,8825,30842
87872,3095,4714,20811,48851
66146,86526,3226,20619,80081
65629,20904,6194,22192,56586
86954,27444,5334,11522,77370
45829,37327,3774,18093,51698
27409,52269,6306,17768,23875
60625,31381,7324,15747,81656
47827,48802,6720,28443,10238
62674,29277,7168,19665,79230
85230,82745,5009,24288,74781
10026,84971,5314,17283,44016
57418,73424,5590,12324,25031
44235,36287,5746,11314,59958
31705,34390,4699,14116,15552
5829,41108,3246,10306,80458
86220,85396,3067,23796,52255
69023,58922,8934,18745,38850
37285,48804,6954,27652,34474
13085,19797,6538,27864,43994
89777,56056,2006,14336,62825
41878,50681,7159,27211,83566
65807,79486,6160,9231,67406
39217,64994,5113,21128,38468
86406,39549,4762,15475,13481
54776,23669,5094,8787,78217
81157,55949,1466,19184,64755
21633,77264,5533,23951,12141
43394,63529,5541,15051,12339
61575,3330,4534,27121,10718
41572,32781,7449,15246,21579
77844,71905,5379,28259,94804
23015,38665,5478,13646,78044
50468,75609,8551,5412,59503
65391,64682,3125,19503,89139
27579,36885,6797,14620,81248
63059,2972,6604,22685,27362
18919,25810,3115,20023,25701
76798,72210,5321,16223,90319
19466,38571,1332,27253,49133
65369,32284,2366,7406,37568
9690,59020,8388,18790,63102
27421,82258,8968,25929,33905
58361,63963,6304,16882,99514
67266,82934,8727,13126,68971
18553,3447,1898,10673,54564
3634,84495,7061,9388,54723
22217,45373,4411,10376,41012
50793,58298,5227,26794,30050
61211,68417,6669,17250,91909
67186,1141,7400,4920,12010
55948,72808,1683,29627,84058
29511,16688,2439,9515,62974
87540,23235,1527,8153,97241
74534,6499,8636,9951,68811
41098,31157,7742,8586,46081
83183,88731,8634,10196,18054
57835,32175,2713,9136,16583
73281,16478,5088,15859,51925
62649,53371,3935,22764,66958
89453,15579,6841,9337,21283
9248,63094,7411,12305,17894
57488,41922,3078,19934,16002
49552,24367,7954,8823,85628
1181,52540,2615,26554,18025
57159,21418,2750,9992,10888
15370,22186,2676,10364,25190
64803,65496,4918,12248,66791
15249,12072,8086,4436,69186
72809,57666,5345,10506,55668
4917,58671,1910,17962,13231
38198,12442,6476,10774,18293
24766,1213,3030,26787,20375
16392,85045,4146,10930,48086
49938,58309,4941,15892,27980
13396,7140,3227,28913,43624
37265,86572,8119,4525,35627
28545,11470,1907,27517,85572
6427,21218,4843,18651,57405
4160,35971,7812,11511,17398
62030,80477,6825,21447,65375
72313,69604,2147,9494,68424
34713,36713,2814,10361,47765
79226,9357,6188,26158,69658
11599,30447,1498,25553,58562
76282,55551,5370,13002,59846
15697,31688,5647,13814,46862
62290,12085,4591,11465,76448
21412,9118,2476,12879,57787
53563,57259,5131,18102,83413
38706,70687,2812,20894,53331
80822,9140,4347,13580,23426
68434,79418,1654,5290,71387
71754,20237,7882,11517,16805
57725,34621,6161,20465,39393
28549,82383,8673,15520,14904
20734,30427,4285,11332,82966
58333,25567,1330,10824,93782
10308,68265,2437,4373,58758
39859,67097,2897,11369,34957
53745,62296,1231,6163,62088
9958,63127,2105,21578,82095
61558,13176,2695,19730,97742
28661,47349,5263,14535,44536
11845,8956,5913,15396,39526
62003,43788,8351,13023,82430
2076,85298,5427,6311,73702
80543,18958,2862,11918,60324
5245,88130,3271,7494,42893
13734,23962,5584,18232,38953
21840,32130,4833,4986,53206
7302,74933,3287,21026,53324
87845,36839,3771,14532,35821
85779,46952,5264,9237,36632
10871,1373,1596,28859,45181
26034,1861,2068,26811,89824
33770,74640,5827,22433,30122
72969,34139,6945,8722,38687
78639,3355,1395,11609,99093
9046,71741,1961,11276,90968
81570,25556,3699,11379,38477
36423,44997,4658,10815,54047
47144,31340,2507,16070,36595
84204,59341,7750,27978,11909
2164,14879,6123,19186,91413
39633,24604,5130,9446,55107
83008,25427,4262,4287,25387
46058,26421,8203,18594,60053
53037,71425,6427,23259,64805
32388,23648,2192,24848,53388
1017,39777,3761,25399,89852
54633,86535,8861,17587,60552
62398,5833,4041,4871,39282
18200,22636,4998,21984,47639
85209,59009,7905,6875,26603
45094,45097,6926,9856,43030
47968,83033,7569,7963,78065
20554,89876,5120,11774,27802
4475,75431,7458,14650,10082
17766,45577,4324,13615,31561
81982,39553,7357,11626,42264
24647,59723,4994,19495,21539
88643,87002,5139,4549,98296
78690,42970,6779,12314,81023
38693,39781,1375,18837,24942
54208,32621,1740,25507,46369
5199,52952,3003,24452,79572
89655,61226,4190,4897,25568
88495,64782,6629,4752,25577
33390,47491,4272,26343,86451
80485,85641,4164,22962,84157
60913,42695,3745,6326,13524
19255,49588,3444,25876,21544
64502,37761,8950,15198,66902
24447,87281,1376,7377,29734
33638,82533,5202,19951,41940
11686,3408,6843,22004,49439
52636,12277,8075,9626,24475
44647,47081,3663,8740,43032
80757,45720,3134,26600,80008
60145,81897,4135,16065,79611
59375,1915,2717,20062,22233
7965,53868,6650,25872,44375
21880,54856,6991,21410,23892
87263,21456,3304,17628,86195
36049,46407,2594,14233,42247
88713,56822,5931,8197,93293
76596,83732,3668,25208,35567
34354,76516,6171,25050,86099
58238,16911,7421,6116,76570
67673,3421,5786,14356,22177
88341,82301,4292,19878,94717
41563,31934,3028,5397,30728
62033,44464,5555,18631,46025
1759,88062,2412,19660,16710
36138,66489,6008,6087,41985
45846,76491,4864,16714,25364
77263,69341,7444,18569,49211
73258,62657,8133,26558,46348
80271,65025,7037,18909,92166
88340,43867,8141,7916,72514
51639,82937,4512,7871,52955
19775,83399,1750,13903,87395
63199,49715,6508,21748,37414
39471,71716,3644,11432,96768
12306,56453,2505,17228,28977
80004,51716,3081,12760,79142
46694,20995,5943,18939,82796
75907,79281,8514,22790,13693
30565,37313,6472,13502,22244
73716,83190,4385,28981,26761
32587,69425,2674,16869,86668
85657,22183,1500,8822,39876
32593,29461,2921,13100,17640
11140,27202,7538,21721,55629
81536,44571,7439,26078,90663
18567,66950,7847,10995,89807
11389,58603,8140,28113,86213
40204,69707,6989,23871,97875
59796,13567,3638,21128,67381
85225,80927,3263,25159,23745
60028,39308,1599,29720,93282
56577,67620,5285,23800,47415
34670,63800,7997,14307,39719
49908,55460,1982,6688,82676
9554,70405,6866,5901,50222
8888,88793,6497,19422,62977
64132,21067,3678,4310,45142
8086,4805,1805,5928,33938
62126,29824,1227,11246,38996
31549,49716,6868,6619,50647
86228,47490,3535,23457,98592
30579,20863,6320,26727,24448
51312,73766,6885,9767,36898
81018,88788,8747,6306,64041
86036,30672,7055,6898,18665
20962,58831,8428,16304,33253
87512,12963,5902,24740,81716
80930,11913,2005,6315,23412
15228,18595,6831,25498,23961
33617,33824,8230,29662,24136
12972,67409,8704,12681,59830
7208,89545,3306,23464,58505
25477,15374,1273,7029,51571
16095,79095,3393,8563,61148
51828,49740,3791,6760,98651
75726,25835,1149,28916,89564
74811,34648,7252,29828,25143
70945,69516,4209,11620,97103
5671,88972,5997,6166,34912
24467,48069,2938,23206,37620
1987,71486,2338,28188,85897
57039,87208,8529,7510,81723
7661,17710,7463,9909,10158
23714,53584,5199,6687,41110
41287,28319,3005,29684,24344
1441,82223,4476,18061,36490
48884,84196,7983,8160,38351
60916,33103,2493,17988,23200
6119,38073,6990,20837,26579
64861,72329,1542,15663,39046
5819,21341,6130,7137,47763
66347,85672,3031,14235,38005
53502,46543,8706,18252,82379
25653,85777,4594,16324,55704
77760,78000,3975,8293,56856
18374,88320,8744,13088,79002
35306,83286,8565,20976,37102
75754,63402,4740,13324,96674
7522,81406,2747,6824,88184
27208,78094,6238,29416,50631
69438,11725,6748,23022,84922
66557,60803,5879,17534,99895
43779,53858,4123,9983,91494
14382,49757,8797,15885,95580
36337,53153,7982,14981,14790
84933,29939,1167,7087,59572
81677,76233,7844,4380,77206
42914,6932,1239,22349,88952
72231,13257,6117,21910,54913
18722,54312,3628,4930,88594
7082,50741,4610,8201,73704
17258,40548,2063,29796,17122
50901,1736,7925,26583,37417
1616,16336,4645,7052,22320
79896,52836,7729,29561,53156
30653,73956,3277,22503,39452
2703,29373,3052,14268,27435
26949,79960,3895,11718,31409
53725,69314,3318,12690,86587
86293,18800,5928,28004,67264
83582,13280,3029,8577,93980
37239,22342,8552,14559,34523
82264,30501,4900,22613,64540
26121,12414,6169,19955,69028
79541,52735,2095,29539,73220
71235,58434,8678,5523,75184
18105,13360,7227,9048,67720
84910,87709,6150,25776,95750
19631,64601,5808,15665,40679
61281,55307,6450,21650,16221
55110,16136,7039,9162,58975
53601,70463,5883,27448,43360
64364,14496,8143,10817,73956
83789,42289,4416,13478,63882
36785,20004,4600,27715,55045
21154,46842,6550,13232,76567
54729,58211,4073,5950,55388
35654,2283,6723,4134,76338
9270,65029,1857,15287,49933
39042,51032,7038,22895,63056
81153,75063,2537,22236,81066
7004,36811,8125,20581,95603
71777,32954,7028,11913,57766
39095,8821,5338,6403,26495
2970,27558,6044,14192,48293
78511,23076,2477,11038,83677
75723,20551,3364,11791,37989
50433,64031,2734,12012,15768
49677,45602,8677,6307,69033
37467,79667,3240,22620,67443
38425,80148,2833,19831,88941
5694,51620,8289,22280,58947
81149,80864,8449,26487,42099
83012,52617,4497,9686,23024
72881,30140,7434,4400,39340
51517,80510,6175,20130,69920
13320,82768,4467,29158,57454
53650,83783,1219,17996,20808
9408,19883,6942,19728,28257
67232,20438,7830,27613,10337
69693,14854,8859,4100,33310
86773,50210,4755,24754,53876
55437,89853,3585,8013,15648
39195,33008,8995,4775,70539
13099,27699,1267,14621,89741
81164,57753,6155,28832,81545
72192,8440,4678,16553,47238
50171,72104,4808,21312,24775
79486,27025,8121,11714,37567
62046,48527,6074,16615,79290
48156,30703,2686,27155,11903
30199,83096,1174,24625,78235
15103,19254,5470,25850,41267
51620,52887,3587,14316,18661
78684,86469,8123,13335,80476
57277,65977,6173,21988,57809
13273,70662,1709,25176,43969
82805,50921,1332,26808,84437
69061,55494,4878,29874,50132
53997,83283,1138,10846,89711
3439,77188,1497,5605,65165
65098,86840,7820,14339,80162
46895,28850,7369,26599,49761
71114,16603,8198,25968,92253
43923,73778,3025,20042,45346
36322,19868,6322,27554,95993
87176,16269,3670,15870,60230
58877,62768,5922,5570,50560
84555,62931,4060,20659,27442
67115,89039,2504,12031,10568
51661,51304,8605,28653,93919
81178,34025,3238,27009,73681
26855,42453,5846,19144,27259
45731,66127,6638,19000,22668
32600,7955,6727,18852,51168
76683,79560,5708,22387,17510
15740,25231,8058,20034,10604
25359,63871,7225,10940,77702
63143,58197,5426,28877,82735
30343,6101,4885,14343,77475
69828,42742,8118,19485,11177
12419,59422,1680,29523,43752
10403,59547,4563,26191,31737
55059,51021,5166,19183,71393
77148,85779,8307,14969,72430
30346,77484,2464,6063,74126
65317,13295,8176,18693,83759
21734,45681,5967,15763,32633
51691,34680,3264,8627,34333
52279,60388,2967,24744,72648
57040,59377,2722,6363,25626
11342,24846,2355,11748,68086
3496,36142,4537,29288,31151
37987,86126,1142,6858,20331
35593,2693,4479,7521,90399
27253,85839,6605,24831,90931
54654,29558,8377,15354,19731
65981,87941,5567,7840,39086
83013,27184,4362,26010,47608
59527,41952,5845,26261,61543
78568,12027,8530,22105,84928
13691,15743,5091,8946,25939
45099,67124,7100,24240,45169
81962,2877,6868,4715,29479
81783,58798,6856,23030,37299
34302,21908,3080,19959,90307
54534,21611,3593,15105,64712
4402,62715,3215,21489,39273
27614,8936,2020,25302,61017
31059,59070,2733,29372,33618
33624,77742,2613,17083,22256
18997,71124,2441,9097,10614
46251,17108,7730,8415,93636
30123,30792,5800,16244,18203
22039,3943,3803,13943,49197
80028,17064,6726,7907,26293
69153,81366,7031,19696,74531
58779,51538,7403,20365,35885
16878,3735,8004,26258,97942
10955,54126,3137,8137,22409
86443,84061,5336,8975,99366
75716,83477,8029,26711,98600
30770,7984,8645,20007,69914
86505,16561,2887,25176,32856
45955,39369,1602,21149,37142
45284,16690,6515,24210,39086
36185,23373,1904,27019,40842
89455,86987,3683,13888,57224
64638,24023,3231,19856,15830
23569,31550,6566,7233,56797
42876,31943,7633,27006,51138
62897,64393,7693,27690,81676
46686,19452,6140,20876,54437
10930,2132,8023,23374,27877
41612,31119,1071,11058,81571
68447,87454,7006,25539,53776
53886,13212,4292,10042,92459
57719,68036,2141,5585,77465
38258,14610,7332,13637,13806
72053,87577,2417,27535,73958
43681,49321,4363,22452,17168
51337,73848,2007,11606,12876
26116,68725,1806,17215,21947
77853,79752,7633,27286,56363
53874,25911,3428,11200,46878
14477,3419,3441,11395,54129
49470,59548,5944,7330,92171
41472,89508,4033,25072,68635
14256,72570,4948,16324,58958
83988,80370,2620,4007,13219
19707,35398,7745,10957,70122
12381,26186,5439,23296,36474
33210,74561,4699,14746,57392
56008,37041,4405,5553,99024
7641,51136,4936,15777,62572
63132,46039,7206,24002,23619
11759,45167,4349,28031,89500
57524,87972,3527,29928,70491
40854,24305,1483,7272,59240
9037,39575,8926,19867,97006
69084,65719,2654,20800,32368
10391,13045,5183,9538,12341
74985,57417,6409,23318,12833
22573,85874,4396,26891,66478
53948,86967,8664,16364,32544
88410,87530,5884,17923,78182
50019,7334,2817,27985,50244
40425,9840,3107,21484,82410
51795,4650,7111,5699,82629
5363,70342,5103,20289,48190
17367,4650,5133,29296,48040
2811,24128,1399,10710,98772
57459,1163,7360,8500,15206
21562,61343,3625,22128,80274
8808,87226,4700,18082,78419
38417,60342,5776,12153,11978
62326,24726,1676,8376,38736
83058,41781,2840,10754,75884
49867,14521,5746,23455,91533
75607,30887,5874,12322,71493
25449,83136,3748,21066,38525
81262,76571,7666,16867,57919
21413,58080,1410,29056,27308
80938,11011,4846,27401,49860
71557,33178,6159,26241,67891
81083,84079,2070,26693,71326
10140,73215,5825,11027,57913
31274,72181,2913,19299,22843
72334,59120,4648,29125,21983
7126,35238,7847,17978,85571
36349,85829,3061,10149,78645
12518,52483,5587,22874,48668
6535,34092,8802,7374,84877
74990,9896,1327,18952,62536
28996,3970,8758,21576,32071
52196,61419,2984,12707,64271
15154,86773,4690,26646,59381
25350,7217,1680,8804,69235
23729,53074,2025,12005,55570
80903,54932,7873,20716,23890
48541,40954,4640,22176,44484
19594,28193,4304,12325,29860
26503,57921,6861,6863,88529
44350,16790,5040,18729,58299
67997,63649,5045,21864,60876
20623,35115,7986,20218,73433
13884,41485,5753,22859,10878
32063,53984,1818,26477,65711
3388,59285,8828,8223,86830
15558,20641,6392,7495,23043
52289,60442,1945,12473,24507
8828,42214,1057,7463,48410
70944,72718,6839,23536,51452
46516,2816,2596,26479,27973
56993,35638,7920,28129,16995
47876,21119,4127,8157,30210
22334,31097,6556,13420,13292
21730,82341,4990,8232,16958
21749,20143,7870,27751,15086
83516,28000,5875,15040,53069
89304,65865,5745,12048,53334
8731,51098,1133,25437,67294
49725,26917,2897,18531,72033
61875,79617,6125,7337,28739
58768,4257,5213,19378,87628
68701,52661,8863,19620,42726
7391,15483,6728,29429,81611
41210,46197,6949,9552,84648
50037,63132,3362,5650,72051
74568,85604,6427,10972,19785
57856,13656,7859,10043,56909
24553,47771,4833,25245,44551
46733,77919,1359,24499,92092
42427,56951,5130,20180,86832
23420,56215,4158,10324,23034
28497,48622,2072,28230,71137
82159,35547,2870,12245,22617
69455,23428,1840,9471,29343
49909,39623,8988,24051,23620
79096,72029,7339,26276,50881
86248,25581,6380,27614,13391
16614,57537,2763,9748,70945
28785,88565,3619,24335,41876
74472,29555,5964,28569,46342
19744,14441,5204,20866,99467
53464,1659,2629,14930,65736
27112,67059,4034,10732,93675
15109,84227,3738,18049,72990
64047,21768,5791,9930,70274
44829,33268,5109,28302,84777
59521,26272,7259,26901,16463
27666,25702,4051,8089,79235
26595,35931,3917,11980,19248
80358,15660,1403,22489,21402
28970,87127,4924,13123,94991
39878,49709,8310,18911,56375
2478,32206,1305,7137,61831
2922,59578,3496,9291,66419
75244,46884,6678,10416,11990
31744,12133,5078,16907,28554
66265,55023,6701,11629,38065
43890,29202,6648,18623,67021
83269,66661,5427,11730,80032
49989,22117,1766,13270,34640
16007,64366,4092,13102,56416
61079,43309,1701,12321,42875
45178,53843,5589,17397,14443
77685,35601,6697,21611,27935
83674,76836,8962,7306,35023
70335,17642,5808,5355,37629
60957,28427,6166,23046,52420
81587,8487,8146,21700,39322
74346,16085,5205,13418,81215
71492,66607,1468,13766,38898
1468,41742,2641,11015,82620
1263,58967,4971,22907,71709
88699,53524,6854,24631,70939
6540,3531,6472,22821,50169
10356,45355,3599,11199,82880
1281,80299,4654,15403,25940
44763,79254,8939,27969,54361
83368,20346,1054,16035,89089
39896,50873,3159,24403,97392
33127,17051,5989,16316,90637
17677,66344,5003,7152,70941
39229,31617,1903,21965,80533
14966,21930,4750,7971,76356
44937,50182,1090,15612,87975
80939,26191,4201,14028,94397
89612,66364,3327,28130,12261
56399,85365,5056,6981,57912
30626,16019,1945,19018,60956
89341,69618,1084,4158,25446
77027,49005,6862,5186,85268
24867,77930,1223,14070,98355
51207,88528,3849,23064,54656
8476,34972,5158,10187,72799
4041,79595,2351,6060,36149
24273,29358,8944,28633,40083
62415,85611,1030,25412,78408
75658,78139,8364,12866,79674
48353,57850,1620,24413,78821
2730,61651,7271,13208,90285
40219,33416,6748,23192,17687
61013,64648,8038,23600,66565
48911,87773,1233,26361,84835
68118,22705,4221,25375,60072
40809,77295,8575,10926,63924
41117,44075,5226,17001,42750
58288,67840,4477,14579,46511
19040,27171,8117,22130,82639
12706,12877,7237,29908,15254
84313,38646,5377,16983,44188
31775,45864,7598,24641,73317
36303,72180,2015,16106,16269
26146,40335,1752,27194,77194
66969,7535,8629,18863,34932
28153,37881,2533,21722,77181
66587,59777,5620,12101,80974
42690,4078,8371,8139,51136
31085,31825,8878,5882,15930
47364,59821,5773,27413,44358
57501,9226,5013,8223,90451
47585,85890,8025,29476,47831
7786,67990,4285,12759,31149
50961,76632,6362,15156,44259
82256,87513,2827,4481,43490
51080,67121,1315,8339,28350
82061,24951,1151,9397,87957
61686,57491,6577,18734,51816
25001,4249,6517,11377,72715
59505,83532,2501,22248,35143
66376,80543,4006,29325,59771
79046,81935,6011,12134,32246
44102,61707,2521,4293,10485
63383,36974,3790,7540,52690
71783,44546,6787,18957,80881
11618,13610,7539,6360,12302
46867,46324,5809,17943,41839
41839,28424,4260,24121,65219
47163,30019,8139,13934,65413
4692,20678,8783,22328,66515
17047,27232,3172,13288,79091
16931,89927,4458,7289,37011
48508,83146,5343,8680,57498
53287,16427,1962,20590,58408
77257,4398,6833,17039,25588
33454,50170,1495,22756,71012
6775,26564,7764,18585,34552
83349,8958,5758,21943,44618
59914,19563,6176,14823,38405
50816,47255,2331,22379,44314
27492,40535,7490,20886,49150
73457,55662,1420,24921,28193
15554,53114,8147,10961,47284
37183,37799,3293,7648,52699
40082,9564,4826,24642,17151
56701,64555,2500,5993,21831
6635,40507,6371,22989,65199
53261,53518,1098,6396,61587
58153,70717,6471,13342,21224
37867,4626,7191,9857,91379
82861,39713,6200,26734,53633
26204,45616,2021,11529,58282
69388,1933,4322,24438,19211
57828,29438,8433,18848,44281
81399,78062,7206,26142,40764
70192,40441,4276,26623,45584
80907,84711,3544,21432,37348
16264,44411,8827,26813,70704
36593,11328,7656,23901,20995
16378,11254,8188,15295,98506
65088,84257,6973,5597,70833
40203,60537,5697,8553,38289
5431,55398,2950,12578,97139
43853,68649,2626,15107,82825
24515,21350,5227,6017,16634
82307,11132,7992,13435,35142
8516,83401,1020,13173,14223
86402,22857,4475,4400,41641
81560,2344,7721,12194,13367
32038,27226,5441,23838,31794
52940,3228,5217,24144,16936
84233,14448,1231,10885,89220
61920,61190,5783,27267,87367
56681,83362,1013,5142,18526
70263,31295,7586,18741,97179
85042,11259,4305,23044,58625
62380,56339,1721,19625,40557
19599,82417,8214,14429,70340
10294,44557,5260,21256,72173
53411,69717,2463,20899,74676
11374,52197,5958,8614,82092
14885,73159,6898,7692,65300
42505,16416,7836,22590,47528
63554,81305,3242,25170,70269
38277,39833,6075,15810,44161
50982,72350,1839,11714,34438
8438,37332,7817,21617,78344
67518,55210,6361,23637,89709
42869,80989,3615,7173,59096
63254,79843,1676,22101,34248
31248,63062,8350,6195,47391
11326,2882,2494,14498,94460
34484,4185,5319,23480,70659
63492,72591,4918,17599,37287
17655,84397,8269,18352,44847
86537,10709,7855,16698,52455
73518,19364,1802,19818,69735
44831,55596,8163,16042,15397
61093,54380,7275,17658,43791
32353,56042,1719,16020,41826
6101,37134,4033,7202,46197
5442,11814,3241,24606,43368
4183,67913,8490,24696,93753
16179,63518,2963,26538,10489
31122,55768,5271,5864,61744
15694,42149,5494,7449,39281
7848,65409,6708,10634,42301
54696,42456,5192,15057,50247
10741,61793,5915,27471,50204
87816,6060,4046,15216,53182
52711,38529,8766,16764,98202
22443,60451,3517,17955,17663
74234,40328,1294,19677,59344
27968,15346,3636,24057,79331
61139,76112,4873,18956,93573
70370,59588,7162,4973,18739
74009,75490,1424,4721,45095
68670,89248,5094,9485,62890
2858,62106,2110,26950,38559
29514,51283,2873,18901,53885
2046,36927,7464,23175,93737
56451,41203,6778,18797,39472
9002,77544,2979,12499,62600
56430,35295,3627,24248,90237
49375,35882,6261,24469,78329
82764,82687,3845,27340,76346
59931,22764,4125,14157,20487
59548,29884,7792,16575,39171
65612,28251,4438,22620,75472
85056,41670,1170,12274,33837
49173,60614,4168,18762,71093
77403,26303,5110,17161,64321
31038,59930,1171,22928,93534
5495,79418,3086,4379,97335
74511,64031,6406,13689,19838
13976,55827,5910,26359,97806
56641,26459,1045,28135,99409
62258,73079,3120,16734,57236
79494,7397,7762,27091,47122
56153,65274,1272,23187,33826
37867,70110,5262,18812,87559
7911,31885,3938,16893,28842
22285,41983,8636,18560,82462
55216,42767,1978,27157,80495
55494,57473,8973,18850,60075
63953,72047,7884,5269,49001
50615,8170,4806,19775,80971
81199,75331,6316,5196,87632
14838,57999,4826,14123,60520
7536,68895,1022,25426,33032
30915,7141,5687,22652,91801
67515,74247,1237,8789,62456
69486,79323,1331,22745,35140
78033,43042,6162,4844,96675
68744,67255,8882,8041,33969
60756,67521,1129,26540,73544
42831,7068,1444,11087,73526
80752,66742,8572,15945,77835
62746,52322,2101,5823,80543
42049,49630,6273,10660,48082
65706,42289,1788,25270,14465
89184,36690,6453,4390,36409
6610,27040,6476,10885,14067
